,id,gwh_per_mm3,latitude,longitude,type,Nearest City for Rain Stats,Days of Rain,Inches of Rain,Nearest City for Temp Stats,Avg High Temp,Avg Low Temp
0,H1,3.5,46.0731,7.4034,HDAM,"Turin, Italy",81,38.6,"Turin, Italy",63,45
1,H102,0.4786885245901639,40.3305,22.1253,HDAM,"Skopje, Macedonia",65,18.7,"Skopje, Macedonia",65,45
2,H1020,2.811059907834101,44.449583,24.312917,HDAM,"Bucharest, Romania",72,23.4,"Bucharest, Romania",62,42
3,H1021,2.3927765237020315,45.074583,24.364583,HDAM,"Bucharest, Romania",72,23.4,"Bucharest, Romania",62,42
4,H1022,5.020080321285142,44.857917,24.24625,HDAM,"Bucharest, Romania",72,23.4,"Bucharest, Romania",62,42
5,H1023,0.24,44.774583,24.27125,HDAM,"Bucharest, Romania",72,23.4,"Bucharest, Romania",62,42
6,H103,7.513346557098331,42.198002,23.862,HPHS,"Sofia, Bulgaria",81,22.8,"Sofia, Bulgaria",59,41
7,H65,1.7079264138087669,47.275002,12.755999999999998,HPHS,"Munich, Germany",129,38.1,"Munich, Germany",55,40
8,H1035,2.010050251256281,44.920417,24.250417,HDAM,"Bucharest, Romania",72,23.4,"Bucharest, Romania",62,42
9,H1036,9.553571428571429,45.17875,24.369583,HDAM,"Bucharest, Romania",72,23.4,"Bucharest, Romania",62,42
10,H1045,3.0,46.2695803,9.8720987,HPHS,"Vaduz, Liechtenstein",120,37.3,"Vaduz, Liechtenstein",58,42
11,H1048,0.2868686868686869,63.82958299999999,15.642083,HDAM,"Stockholm, Sweden",105,21.2,"Stockholm, Sweden",50,38
12,H105,1.8,44.96118,5.68874,HDAM,"Lyon, France",104,32.8,"Lyon, France",62,47
13,H1055,0.07464892830746489,68.10875,26.722083,HDAM,"Helsinki, Finland",115,26.9,"Helsinki, Finland",48,35
14,H1057,0.397796817625459,60.71220699999989,12.667535,HPHS,"Oslo, Norway",113,30.0,"Oslo, Norway",49,36
15,H1064,0.016631578947368417,58.35555600000001,12.374444,HDAM,"Oslo, Norway",113,30.0,"Oslo, Norway",49,36
16,H107,0.418702023726448,49.606998,14.182,HDAM,"Prague, Czech Republic",94,20.7,"Prague, Czech Republic",55,38
17,H1070,0.7096774193548387,45.082,2.194,HDAM,"Andorra la Vella, Andorra",119,37.5,"Andorra la Vella, Andorra",64,45
18,H144,16.61764705882353,57.2553615,-4.493151999999991,HPHS,"Glasgow, United Kingdom",170,44.3,"Glasgow, United Kingdom",54,42
19,H93,4.721428571428572,47.067783,10.665211,HDAM,"Vaduz, Liechtenstein",120,37.3,"Vaduz, Liechtenstein",58,42
20,H111,2.0207612456747404,47.146432,11.967219,HPHS,"Munich, Germany",129,38.1,"Munich, Germany",55,40
21,H11,2.6904761904761907,44.668999,22.527,HDAM,"Belgrade, Serbia",95,27.2,"Belgrade, Serbia",63,47
22,H110,1.0886075949367089,43.272999,18.841999,HDAM,"Sarajevo, Bosnia & Herzegovina",113,36.7,"Sarajevo, Bosnia & Herzegovina",59,41
23,H1118,4.589403973509933,42.1373,23.5691,HDAM,"Sofia, Bulgaria",81,22.8,"Sofia, Bulgaria",59,41
24,H324,3.6435998766781577,56.261512,-4.763588,HDAM,"Glasgow, United Kingdom",170,44.3,"Glasgow, United Kingdom",54,42
25,H188,4.738186462324394,47.074251,9.874371,HDAM,"Vaduz, Liechtenstein",120,37.3,"Vaduz, Liechtenstein",58,42
26,H1133,0.1950413223140496,66.467003,16.549485,HDAM,"Stockholm, Sweden",105,21.2,"Stockholm, Sweden",50,38
27,H114,1.981981981981982,45.21466,6.71208,HDAM,"Turin, Italy",81,38.6,"Turin, Italy",63,45
28,H1150,0.050387596899224806,47.84125,27.225417,HDAM,"Chisinau, Moldova",77,21.5,"Chisinau, Moldova",58,42
29,H1154,2.2580645161290325,45.215,2.0380000000000003,HDAM,"Andorra la Vella, Andorra",119,37.5,"Andorra la Vella, Andorra",64,45
30,H1163,1.9329896907216495,46.457917,26.952083,HDAM,"Chisinau, Moldova",77,21.5,"Chisinau, Moldova",58,42
31,H1200,0.2801120448179272,56.123701,13.11603,HDAM,"Copenhagen, Denmark",102,20.6,"Copenhagen, Denmark",53,41
32,H1205,0.006999999999999999,62.807917,30.179583,HROR,"Saint Petersburg, Russia",119,24.9,"Saint Petersburg, Russia",47,35
33,H122,0.6875,40.340285,-8.196778,HPHS,"Lisbon, Portugal",77,28.6,"Lisbon, Portugal",70,56
34,H123,2.9545454545454546,45.3391,22.7213,HDAM,"Belgrade, Serbia",95,27.2,"Belgrade, Serbia",63,47
35,H1233,4.270833333333334,44.407917,24.354583,HDAM,"Bucharest, Romania",72,23.4,"Bucharest, Romania",62,42
36,H1234,1.0693069306930694,40.5,-7.51,HDAM,"Lisbon, Portugal",77,28.6,"Lisbon, Portugal",70,56
37,H124,0.7397260273972602,39.1845,21.0255,HDAM,"Tirana, Albania",98,48.0,"Tirana, Albania",70,48
38,H1240,0.2878338278931751,64.607742,15.465791,HDAM,"Stockholm, Sweden",105,21.2,"Stockholm, Sweden",50,38
39,H425,0.187,47.065944,13.353102,HDAM,"Ljubljana, Slovenia",115,53.9,"Ljubljana, Slovenia",59,43
40,H126,0.7613636363636364,61.38164499999989,13.731379,HDAM,"Oslo, Norway",113,30.0,"Oslo, Norway",49,36
41,H1265,0.6714285714285714,41.692083,19.832917,HDAM,"Tirana, Albania",98,48.0,"Tirana, Albania",70,48
42,H127,0.1711864406779661,67.493432,18.353512,HDAM,"Stockholm, Sweden",105,21.2,"Stockholm, Sweden",50,38
43,H1272,4.651162790697675,41.07,-7.46,HDAM,"Lisbon, Portugal",77,28.6,"Lisbon, Portugal",70,56
44,H643,3.1711822660098523,56.707001,-4.02,HDAM,"Glasgow, United Kingdom",170,44.3,"Glasgow, United Kingdom",54,42
45,H1299,3.7416666666666663,40.3095,-8.2488,HDAM,"Lisbon, Portugal",77,28.6,"Lisbon, Portugal",70,56
46,H130,25.09090909090909,46.16036500000001,9.936609,HDAM,"Milan, Italy",83,36.2,"Milan, Italy",64,47
47,H132,0.38662146303299,41.368999,0.274,HDAM,"Andorra la Vella, Andorra",119,37.5,"Andorra la Vella, Andorra",64,45
48,H1328,0.4353932584269663,42.4452,25.6364,HROR,"Bucharest, Romania",72,23.4,"Bucharest, Romania",62,42
49,H1340,0.2274631531933899,40.719766,9.101024,HDAM,"Monaco, Monaco",61,28.9,"Monaco, Monaco",67,54
